date,total_asset,cash,market_value,daily_return,benchmark_close,positions
2025-01-02,983983.2925999999,500876.0926,483107.19999999995,-0.016016707400000073,,"{'000001.SZ': {'volume': 44600, 'price': np.float64(10.831999999999999), 'avg_price': 11.19, 'market_value': np.float64(483107.19999999995), 'profit': np.float64(-15966.800000000025), 'profit_ratio': np.float64(-0.03199285075960684)}}"
2025-01-03,981753.2925999998,500876.0926,480877.1999999999,-0.0022662986422337925,,"{'000001.SZ': {'volume': 44600, 'price': np.float64(10.781999999999998), 'avg_price': 11.19, 'market_value': np.float64(480877.1999999999), 'profit': np.float64(-18196.800000000057), 'profit_ratio': np.float64(-0.03646112600536204)}}"
2025-01-06,979146.9578,979146.9578,0.0,-0.002654775715696782,,{}
2025-01-07,979146.9578,979146.9578,0.0,0.0,,{}
2025-01-08,979146.9578,979146.9578,0.0,0.0,,{}
2025-01-09,979146.9578,979146.9578,0.0,0.0,,{}
2025-01-10,979146.9578,979146.9578,0.0,0.0,,{}
2025-01-13,979146.9578,979146.9578,0.0,0.0,,{}
2025-01-14,979146.9578,979146.9578,0.0,0.0,,{}
2025-01-15,979146.9578,979146.9578,0.0,0.0,,{}
2025-01-16,979146.9578,979146.9578,0.0,0.0,,{}
2025-01-17,979146.9578,979146.9578,0.0,0.0,,{}
2025-01-20,979146.9578,979146.9578,0.0,0.0,,{}
2025-01-21,979146.9578,979146.9578,0.0,0.0,,{}
2025-01-22,979146.9578,979146.9578,0.0,0.0,,{}
2025-01-23,979146.9578,979146.9578,0.0,0.0,,{}
2025-01-24,979146.9578,979146.9578,0.0,0.0,,{}
2025-01-27,969213.06,490120.06,479093.0,-0.010145461537581585,,"{'000002.SZ': {'volume': 65900, 'price': np.float64(7.27), 'avg_price': 7.42, 'market_value': np.float64(479093.0), 'profit': np.float64(-9885.000000000024), 'profit_ratio': np.float64(-0.02021563342318064)}}"
2025-02-05,949443.06,490120.06,459323.0,-0.02039799174806827,,"{'000002.SZ': {'volume': 65900, 'price': np.float64(6.97), 'avg_price': 7.42, 'market_value': np.float64(459323.0), 'profit': np.float64(-29655.00000000001), 'profit_ratio': np.float64(-0.0606469002695418)}}"
2025-02-06,952738.06,490120.06,462618.0,0.003470455616369453,,"{'000002.SZ': {'volume': 65900, 'price': np.float64(7.02), 'avg_price': 7.42, 'market_value': np.float64(462618.0), 'profit': np.float64(-26360.000000000022), 'profit_ratio': np.float64(-0.0539083557951483)}}"
2025-02-07,979098.06,490120.06,488978.0,0.02766762566407812,,"{'000002.SZ': {'volume': 65900, 'price': np.float64(7.42), 'avg_price': 7.42, 'market_value': np.float64(488978.0), 'profit': np.float64(0.0), 'profit_ratio': np.float64(0.0)}}"
2025-02-10,979098.06,490120.06,488978.00000000006,0.0,,"{'000002.SZ': {'volume': 65900, 'price': np.float64(7.420000000000001), 'avg_price': 7.42, 'market_value': np.float64(488978.00000000006), 'profit': np.float64(5.853095785823825e-11), 'profit_ratio': np.float64(1.1970059564691714e-16)}}"
2025-02-11,966581.6475,245970.6475,720611.0,-0.01278361485059024,,"{'000002.SZ': {'volume': 65900, 'price': np.float64(7.239999999999999), 'avg_price': 7.42, 'market_value': np.float64(477115.99999999994), 'profit': np.float64(-11862.00000000004), 'profit_ratio': np.float64(-0.024258760107816794)}, '000001.SZ': {'volume': 22500, 'price': np.float64(10.822000000000001), 'avg_price': 10.85, 'market_value': np.float64(243495.00000000003), 'profit': np.float64(-629.9999999999706), 'profit_ratio': np.float64(-0.002580645161290202)}}"
2025-02-12,1014029.6475,245970.6475,768059.0,0.04908845530299602,,"{'000002.SZ': {'volume': 65900, 'price': np.float64(7.96), 'avg_price': 7.42, 'market_value': np.float64(524564.0), 'profit': np.float64(35586.0), 'profit_ratio': np.float64(0.07277628032345014)}, '000001.SZ': {'volume': 22500, 'price': np.float64(10.822), 'avg_price': 10.85, 'market_value': np.float64(243494.99999999997), 'profit': np.float64(-630.0000000000106), 'profit_ratio': np.float64(-0.002580645161290366)}}"
2025-02-13,1016488.6475,245970.6475,770518.0,0.002424978407744237,,"{'000002.SZ': {'volume': 65900, 'price': np.float64(7.970000000000001), 'avg_price': 7.42, 'market_value': np.float64(525223.0), 'profit': np.float64(36245.000000000044), 'profit_ratio': np.float64(0.07412398921832894)}, '000001.SZ': {'volume': 22500, 'price': np.float64(10.902), 'avg_price': 10.85, 'market_value': np.float64(245294.99999999997), 'profit': np.float64(1169.9999999999911), 'profit_ratio': np.float64(0.004792626728110563)}}"
2025-02-14,1007069.6475,245970.6475,761099.0,-0.009266212685370891,,"{'000002.SZ': {'volume': 65900, 'price': np.float64(7.81), 'avg_price': 7.42, 'market_value': np.float64(514679.0), 'profit': np.float64(25700.999999999978), 'profit_ratio': np.float64(0.0525606469002695)}, '000001.SZ': {'volume': 22500, 'price': np.float64(10.951999999999998), 'avg_price': 10.85, 'market_value': np.float64(246419.99999999997), 'profit': np.float64(2294.9999999999673), 'profit_ratio': np.float64(0.00940092165898604)}}"
2025-02-17,1003677.6475,245970.6475,757707.0,-0.003368188097437422,,"{'000002.SZ': {'volume': 65900, 'price': np.float64(7.68), 'avg_price': 7.42, 'market_value': np.float64(506112.0), 'profit': np.float64(17133.999999999985), 'profit_ratio': np.float64(0.035040431266846334)}, '000001.SZ': {'volume': 22500, 'price': np.float64(11.182), 'avg_price': 10.85, 'market_value': np.float64(251595.0), 'profit': np.float64(7470.000000000016), 'profit_ratio': np.float64(0.030599078341013893)}}"
2025-02-18,993808.6475,245970.6475,747838.0,-0.009832838286856438,,"{'000002.SZ': {'volume': 65900, 'price': np.float64(7.52), 'avg_price': 7.42, 'market_value': np.float64(495568.0), 'profit': np.float64(6589.999999999976), 'profit_ratio': np.float64(0.013477088948787014)}, '000001.SZ': {'volume': 22500, 'price': np.float64(11.212), 'avg_price': 10.85, 'market_value': np.float64(252270.0), 'profit': np.float64(8145.000000000002), 'profit_ratio': np.float64(0.03336405529953918)}}"
2025-02-19,1000125.6475,245970.6475,754155.0,0.006356354430896618,,"{'000002.SZ': {'volume': 65900, 'price': np.float64(7.65), 'avg_price': 7.42, 'market_value': np.float64(504135.0), 'profit': np.float64(15157.000000000027), 'profit_ratio': np.float64(0.0309973045822103)}, '000001.SZ': {'volume': 22500, 'price': np.float64(11.111999999999998), 'avg_price': 10.85, 'market_value': np.float64(250019.99999999997), 'profit': np.float64(5894.99999999997), 'profit_ratio': np.float64(0.024147465437787896)}}"
2025-02-20,990433.6475,245970.6475,744463.0,-0.009690782377421233,,"{'000002.SZ': {'volume': 65900, 'price': np.float64(7.5200000000000005), 'avg_price': 7.42, 'market_value': np.float64(495568.00000000006), 'profit': np.float64(6590.0000000000355), 'profit_ratio': np.float64(0.013477088948787134)}, '000001.SZ': {'volume': 22500, 'price': np.float64(11.062), 'avg_price': 10.85, 'market_value': np.float64(248895.0), 'profit': np.float64(4769.9999999999945), 'profit_ratio': np.float64(0.01953917050691242)}}"
