date,cash,stock_value,total_value,positions
20240102,1000000.0,0.0,1000000.0,0
20240103,1000000.0,0.0,1000000.0,0
20240104,1000000.0,0.0,1000000.0,0
20240105,1000000.0,0.0,1000000.0,0
20240108,1000000.0,0.0,1000000.0,0
20240109,1000000.0,0.0,1000000.0,0
20240110,1000000.0,0.0,1000000.0,0
20240111,1000000.0,0.0,1000000.0,0
20240112,1000000.0,0.0,1000000.0,0
20240115,1000000.0,0.0,1000000.0,0
20240116,1000000.0,0.0,1000000.0,0
20240117,1000000.0,0.0,1000000.0,0
20240118,1000000.0,0.0,1000000.0,0
20240119,1000000.0,0.0,1000000.0,0
20240122,1000000.0,0.0,1000000.0,0
20240123,1000000.0,0.0,1000000.0,0
20240124,1000000.0,0.0,1000000.0,0
20240125,1000000.0,0.0,1000000.0,0
20240126,1000000.0,0.0,1000000.0,0
20240129,1000000.0,0.0,1000000.0,0
20240130,68.0,999932.0,1000000.0,1
20240131,68.0,988722.0,988790.0,1
20240201,68.0,966302.0000000001,966370.0000000001,1
20240202,68.0,981996.0,982064.0,1
20240205,68.0,890074.0,890142.0,1
20240206,68.0,968544.0000000001,968612.0000000001,1
20240207,68.0,975270.0000000001,975338.0000000001,1
20240208,68.0,1020110.0,1020178.0,1
20240219,68.0,1091854.0,1091922.0,1
20240220,68.0,1076160.0,1076228.0,1
20240221,68.0,1154630.0,1154698.0,1
20240222,68.0,1170324.0000000002,1170392.0000000002,1
20240223,68.0,1190502.0,1190570.0,1
20240226,68.0,1183776.0,1183844.0,1
20240227,68.0,1266730.0,1266798.0,1
20240228,68.0,1147904.0,1147972.0,1
20240229,68.0,1210679.9999999998,1210747.9999999998,1
20240301,68.0,1224132.0,1224200.0,1
20240304,68.0,1298118.0,1298186.0,1
20240305,68.0,1255520.0000000002,1255588.0000000002,1
20240306,68.0,1266730.0,1266798.0,1
20240307,68.0,1199470.0,1199538.0,1
20240308,68.0,1210680.0,1210748.0,1
20240311,68.0,1264488.0000000002,1264556.0000000002,1
20240312,68.0,1313812.0,1313880.0,1
20240313,68.0,1452816.0,1452884.0,1
20240314,68.0,1372104.0,1372172.0,1
20240315,68.0,1403492.0000000002,1403560.0000000002,1
20240318,68.0,1421428.0000000002,1421496.0000000002,1
20240319,68.0,1363136.0,1363204.0,1
20240320,68.0,1392282.0000000002,1392350.0000000002,1
20240321,68.0,1383314.0,1383382.0,1
20240322,68.0,1360894.0,1360962.0,1
20240325,68.0,1282424.0,1282492.0,1
20240326,1239893.9999999998,0.0,1239893.9999999998,0
20240327,1239893.9999999998,0.0,1239893.9999999998,0
20240328,1239893.9999999998,0.0,1239893.9999999998,0
20240329,1239893.9999999998,0.0,1239893.9999999998,0
20240401,1239893.9999999998,0.0,1239893.9999999998,0
20240402,1239893.9999999998,0.0,1239893.9999999998,0
20240403,150.0,1239743.9999999998,1239893.9999999998,1
20240408,150.0,1246788.0,1246938.0,1
20240409,150.0,1277312.0,1277462.0,1
20240410,150.0,1206872.0,1207022.0,1
20240411,150.0,1218612.0,1218762.0,1
20240412,150.0,1192784.0,1192934.0,1
20240415,150.0,1157564.0000000002,1157714.0000000002,1
20240416,1073185.9999999998,0.0,1073185.9999999998,0
20240417,1073185.9999999998,0.0,1073185.9999999998,0
20240418,1073185.9999999998,0.0,1073185.9999999998,0
20240419,1073185.9999999998,0.0,1073185.9999999998,0
20240422,1073185.9999999998,0.0,1073185.9999999998,0
20240423,1073185.9999999998,0.0,1073185.9999999998,0
20240424,1073185.9999999998,0.0,1073185.9999999998,0
20240425,1073185.9999999998,0.0,1073185.9999999998,0
20240426,1073185.9999999998,0.0,1073185.9999999998,0
20240429,1073185.9999999998,0.0,1073185.9999999998,0
20240430,1073185.9999999998,0.0,1073185.9999999998,0
20240506,1073185.9999999998,0.0,1073185.9999999998,0
20240507,1073185.9999999998,0.0,1073185.9999999998,0
20240508,365.99999999976717,1072820.0,1073185.9999999998,1
20240509,365.99999999976717,1083880.0,1084245.9999999998,1
20240510,365.99999999976717,1059548.0,1059913.9999999998,1
20240513,365.99999999976717,1041852.0,1042217.9999999998,1
20240514,365.99999999976717,1114848.0,1115213.9999999998,1
20240515,365.99999999976717,1086091.9999999998,1086457.9999999995,1
20240516,365.99999999976717,1070608.0,1070973.9999999998,1
20240517,365.99999999976717,1072820.0,1073185.9999999998,1
20240520,365.99999999976717,1066184.0,1066549.9999999998,1
20240521,365.99999999976717,1090516.0000000002,1090882.0,1
20240522,365.99999999976717,1088304.0,1088669.9999999998,1
20240523,365.99999999976717,1046275.9999999999,1046641.9999999997,1
20240524,365.99999999976717,1037428.0000000001,1037793.9999999999,1
20240527,365.99999999976717,1044064.0,1044429.9999999998,1
20240528,365.99999999976717,1006460.0,1006825.9999999998,1
20240529,365.99999999976717,1013096.0,1013461.9999999998,1
20240530,365.99999999976717,1002036.0,1002401.9999999998,1
20240531,365.99999999976717,1061760.0,1062125.9999999998,1
20240603,365.99999999976717,1030792.0,1031157.9999999998,1
20240604,365.99999999976717,1072820.0,1073185.9999999998,1
20240605,365.99999999976717,1046275.9999999999,1046641.9999999997,1
20240606,365.99999999976717,1004248.0,1004613.9999999998,1
20240607,365.99999999976717,1013096.0,1013461.9999999998,1
20240611,365.99999999976717,1015308.0,1015673.9999999998,1
20240612,365.99999999976717,1026367.9999999999,1026733.9999999997,1
20240613,365.99999999976717,1004248.0,1004613.9999999998,1
20240614,365.99999999976717,1010883.9999999999,1011249.9999999997,1
20240617,365.99999999976717,997612.0000000001,997977.9999999999,1
20240618,365.99999999976717,1010884.0000000001,1011249.9999999999,1
20240619,365.99999999976717,995400.0,995765.9999999998,1
20240620,962585.9999999999,0.0,962585.9999999999,0
20240621,962585.9999999999,0.0,962585.9999999999,0
20240624,962585.9999999999,0.0,962585.9999999999,0
20240625,962585.9999999999,0.0,962585.9999999999,0
20240626,962585.9999999999,0.0,962585.9999999999,0
20240627,962585.9999999999,0.0,962585.9999999999,0
20240628,962585.9999999999,0.0,962585.9999999999,0
20240701,962585.9999999999,0.0,962585.9999999999,0
20240702,962585.9999999999,0.0,962585.9999999999,0
20240703,962585.9999999999,0.0,962585.9999999999,0
20240704,113.99999999988358,962472.0,962585.9999999999,1
20240705,113.99999999988358,971908.0,972021.9999999999,1
20240708,113.99999999988358,936523.0,936636.9999999999,1
20240709,113.99999999988358,953036.0,953149.9999999999,1
20240710,113.99999999988358,950677.0000000001,950791.0,1
20240711,113.99999999988358,971908.0,972021.9999999999,1
20240712,113.99999999988358,957753.9999999999,957867.9999999998,1
20240715,113.99999999988358,960113.0000000001,960227.0,1
20240716,113.99999999988358,962472.0,962585.9999999999,1
20240717,113.99999999988358,969549.0000000001,969663.0,1
20240718,113.99999999988358,957754.0000000001,957868.0,1
20240719,113.99999999988358,960113.0000000001,960227.0,1
20240722,113.99999999988358,978985.0000000001,979099.0,1
20240723,113.99999999988358,953036.0,953149.9999999999,1
20240724,113.99999999988358,929446.0,929559.9999999999,1
20240725,113.99999999988358,934164.0,934277.9999999999,1
20240726,113.99999999988358,953036.0,953149.9999999999,1
20240729,113.99999999988358,962472.0,962585.9999999999,1
20240730,113.99999999988358,962472.0,962585.9999999999,1
20240731,113.99999999988358,995497.9999999999,995611.9999999998,1
20240801,113.99999999988358,988420.9999999999,988534.9999999998,1
20240802,113.99999999988358,971908.0,972021.9999999999,1
20240805,113.99999999988358,967189.9999999999,967303.9999999998,1
20240806,113.99999999988358,986061.9999999999,986175.9999999998,1
20240807,113.99999999988358,981344.0,981457.9999999999,1
20240808,113.99999999988358,974267.0,974380.9999999999,1
20240809,113.99999999988358,953036.0,953149.9999999999,1
20240812,113.99999999988358,941241.0,941354.9999999999,1
20240813,113.99999999988358,948318.0000000001,948432.0,1
20240814,113.99999999988358,960113.0000000001,960227.0,1
