date,stock,action,price,shares,cost,reason,profit
20240130,300315.SZ,BUY,4.46,224200,999932.0,调仓,
20240326,300315.SZ,SELL,5.529999999999999,224200,,止损,239893.99999999985
20240403,300315.SZ,BUY,5.279999999999999,234800,1239743.9999999998,调仓,
20240416,300315.SZ,SELL,4.569999999999999,234800,,止损,-166708.0
20240508,300315.SZ,BUY,4.85,221200,1072820.0,调仓,
20240620,300315.SZ,SELL,4.3500000000000005,221200,,止损,-110599.9999999998
20240704,300315.SZ,BUY,4.08,235900,962472.0,调仓,
20241009,300315.SZ,SELL,5.28,235900,,止损,283080.00000000006
20241104,300315.SZ,BUY,5.44,228900,1245216.0,调仓,
20241118,300315.SZ,SELL,5.359999999999999,228900,,止损,-18312.00000000022
20241202,300315.SZ,BUY,6.66,184200,1226772.0,调仓,
20241223,300315.SZ,SELL,5.84,184200,,止损,-151044.00000000006
20241230,300315.SZ,BUY,5.790000000000001,185800,1075782.0000000002,调仓,
20250325,300315.SZ,SELL,5.51,185800,,止损,-52024.00000000021
20250402,300315.SZ,BUY,5.380000000000001,190300,1023814.0000000001,调仓,
20250407,300315.SZ,SELL,4.3500000000000005,190300,,止损,-196009.00000000006
20250506,300315.SZ,BUY,4.970000000000001,166600,828002.0000000001,调仓,
20250530,300315.SZ,SELL,5.02,166600,,结束平仓,8329.999999999822
