stock_code,end_date,operating_revenue,net_profit,net_cashflow_oper_act
000526.SZ,20200331,599945206.26,-16077923.83,102532631.28
000526.SZ,20200630,1296399320.42,43716842.65,113637609.75
000526.SZ,20200930,1935434041.6,29751703.81,316703810.43
000526.SZ,20201231,2429882904.4,42776621.02,167297920.54
000526.SZ,20210331,691802386.62,4673439.18,333303914.06
000526.SZ,20210630,1581968399.49,109161799.85,84376130.86
000526.SZ,20210930,2152156646.44,42328834.97,164723084.58
000526.SZ,20211231,2529427415.97,-538809588.08,-86974234.34
000526.SZ,20220331,496580248.49,1314810.46,139014286.97
000526.SZ,20220630,1056772014.23,46336639.51,5804546.44
000526.SZ,20220930,1466968543.5,6247851.71,282757824.36
000526.SZ,20221231,1797614433.02,11031791.52,216428943.51
000526.SZ,20230331,518718890.42,4605417.06,343737227.19
000526.SZ,20230630,1251543738.87,87380590.57,235342287.43
000526.SZ,20230930,1793359810.99,114313174.44,659588307.55
000526.SZ,20231231,2212636261.51,152300990.74,607394990.81
000526.SZ,20240331,705295542.82,50744325.45,444448938.95
000526.SZ,20240630,1619913883.04,161548951.55,224569069.06
000526.SZ,20240930,2246816944.46,172934731.12,690351682.61
000526.SZ,20241231,2785797297.92,176243865.93,666747270.19
000526.SZ,20250331,863682650.93,73464935.69,468579638.55
000526.SZ,20250630,1915877874.38,229583575.16,179562410.92
000526.SZ,20250930,2612951311.05,226623263.87,761781138.02
000676.SZ,20200331,3581941959.85,-135700368.22,-48053780.41
000676.SZ,20200630,5956866746.93,-114027424.62,-41440083.17
000676.SZ,20200930,8860012112.97,-159806688.52,-113902211.71
000676.SZ,20201231,10716328383.04,-2958397599.0,-221105114.81
000676.SZ,20210331,1857166484.8,62620525.67,-56093106.1
000676.SZ,20210630,3461502093.27,84319852.84,-106011135.08
000676.SZ,20210930,4767139532.8,139677895.82,-27426454.87
000676.SZ,20211231,5682085939.37,129350055.81,181437903.95
000676.SZ,20220331,818587305.12,44600844.24,84420881.37
000676.SZ,20220630,1535730420.61,97670296.07,293535517.42
000676.SZ,20220930,2295586590.28,133251805.42,715602588.94
000676.SZ,20221231,2658319572.79,-352296928.07,785966745.92
000676.SZ,20230331,648676953.18,64880285.36,-60783518.15
000676.SZ,20230630,1253284213.09,123455113.61,-365804436.88
000676.SZ,20230930,2080139914.51,222554082.07,-335442829.64
000676.SZ,20231231,2885970678.4,403891903.41,-259391131.57
000676.SZ,20240331,730067463.61,77734317.72,167498767.51
000676.SZ,20240630,1426940625.16,144720026.03,163533979.84
000676.SZ,20240930,2299835930.19,218653958.97,-51079014.07
000676.SZ,20241231,3307051678.25,287258200.9,17748143.31
000676.SZ,20250331,1084622712.35,58637697.34,-175393715.1
000676.SZ,20250630,2114257026.46,107124233.01,-186923593.98
000676.SZ,20250930,3032344662.46,153557873.53,-128205237.65
000835.SZ,20200331,788439.15,-10932232.06,-2471386.55
000835.SZ,20200630,6848815.67,-41140804.82,655345.71
000835.SZ,20200930,8566354.05,-119665072.3,-3453030.34
000835.SZ,20201231,5599862.14,-203212413.13,-3502655.06
000835.SZ,20210331,581551.64,-36013016.14,539048.89
000835.SZ,20210630,1210414.24,-84839176.63,-495281.18
000835.SZ,20210930,1210414.24,-126664866.69,-722822.84
000835.SZ,20211231,2371228.74,-453906776.19,175255.1
000835.SZ,20220331,44255.68,-34041011.59,-1595566.78
002103.SZ,20200331,363881718.37,-14571171.94,-5173245.02
002103.SZ,20200630,1087137810.92,-12790542.34,-68985535.48
002103.SZ,20200930,1721347670.49,7884029.56,-47342668.67
002103.SZ,20201231,2593237594.84,-236638588.87,7649544.96
002103.SZ,20210331,637634976.4,7714032.6,-84790212.4
002103.SZ,20210630,1433371773.36,14795208.04,-49038127.65
002103.SZ,20210930,2131354866.26,23158946.84,-75482494.9
002103.SZ,20211231,2843138822.46,18114971.89,38763901.51
002103.SZ,20220331,419634167.24,-14974209.29,-52510260.16
002103.SZ,20220630,996349268.22,7910984.86,15361862.82
002103.SZ,20220930,1595469213.28,20556541.87,75218314.84
002103.SZ,20221231,2486410822.61,-37479622.97,254791441.27
002103.SZ,20230331,479391018.78,35349606.06,-71134183.69
002103.SZ,20230630,1169292232.82,60996110.31,69246416.74
002103.SZ,20230930,1783848601.56,118677393.01,137138724.39
002103.SZ,20231231,2690383724.99,169029968.23,459517351.4
002103.SZ,20240331,439878194.92,22797174.45,-114172303.83
002103.SZ,20240630,1144056454.5,73082246.4,-27662955.24
002103.SZ,20240930,1758024349.55,105454101.83,25969392.73
002103.SZ,20241231,2778018241.23,152297981.42,216543118.68
002103.SZ,20250331,484375944.22,29910266.91,-118108964.81
002103.SZ,20250630,1171280703.28,76134102.1,-68750121.2
002103.SZ,20250930,1838748112.84,125252855.81,75308873.2
002113.SZ,20200331,142999554.15,28699532.72,-47680717.71
002113.SZ,20200630,282859025.45,33272052.86,-54516912.52
002113.SZ,20200930,480345566.8,408897499.41,-22635329.32
002113.SZ,20201231,631363883.66,277984810.08,21410435.53
002113.SZ,20210331,122019620.63,18282296.84,-44797544.39
002113.SZ,20210630,225703551.92,24915398.15,129593165.51
002113.SZ,20210930,339878581.12,89096804.83,151106956.91
002113.SZ,20211231,435438476.11,-323088775.91,49431194.41
002113.SZ,20220331,70018248.41,-17614853.39,-4728508.43
002113.SZ,20220630,135397767.72,-41390640.5,-12517445.43
002113.SZ,20220930,192154958.46,-58953110.54,-52287906.56
002113.SZ,20221231,242021964.4,-230213457.18,-58190583.93
002113.SZ,20230331,47748068.03,-17231618.74,-26609420.73
002123.SZ,20200331,627112517.92,33853261.29,-106539406.19
002123.SZ,20200630,1207031556.76,29594651.33,75000991.17
002123.SZ,20200930,1899068664.6,44357301.38,170874656.18
002123.SZ,20201231,2735645260.03,102398358.99,397096504.86
002123.SZ,20210331,623709229.04,46398110.45,-181357857.04
002123.SZ,20210630,1386582532.44,86857997.94,-241758024.82
002123.SZ,20210930,1938808147.35,81948356.95,-245302400.21
002123.SZ,20211231,3175249438.44,-243880973.83,-681524914.59
002123.SZ,20220331,692797884.24,-41439374.01,175718461.76
002123.SZ,20220630,1661927236.65,294000.4,-102390164.16
002123.SZ,20220930,2481627974.08,9878135.57,104747816.2
002123.SZ,20221231,4157441578.69,-741986260.28,47488229.27
002123.SZ,20230331,1035238617.77,10329300.65,86206443.24
002123.SZ,20230630,2364359277.38,41523069.99,-91991244.31
002123.SZ,20230930,3330094685.89,5142392.79,284913040.21
002123.SZ,20231231,5234382404.78,-1828160026.24,-398932859.9
002123.SZ,20240331,1100146071.66,10744903.51,540062830.26
002123.SZ,20240630,2327942845.92,14152396.33,634709322.88
002123.SZ,20240930,3304847615.83,37697797.81,849705987.65
002123.SZ,20241231,4403674123.09,42308759.08,502871945.58
002123.SZ,20250331,720752598.98,11093273.07,53904821.76
002123.SZ,20250630,1539003472.56,22558905.86,187311946.92
002123.SZ,20250930,2066469456.92,-46806165.83,238393092.15
002148.SZ,20200331,44501160.21,3441263.06,-896888.31
002148.SZ,20200630,85211842.51,6270824.69,-5051293.04
002148.SZ,20200930,126230039.09,10526599.43,1678701.8
002148.SZ,20201231,161708183.09,12842019.56,7555741.22
002148.SZ,20210331,47809643.88,6768786.72,15871541.46
002148.SZ,20210630,109983849.91,39687722.84,22372714.57
002148.SZ,20210930,173215452.03,52640167.68,24645101.22
002148.SZ,20211231,218308406.59,59243857.63,31892636.86
002148.SZ,20220331,54402697.55,6421194.37,11715336.15
002148.SZ,20220630,117737036.69,14456333.3,36136813.47
002148.SZ,20220930,178984970.78,17072934.72,42906490.31
002148.SZ,20221231,233937198.65,16910389.08,44810381.2
002148.SZ,20230331,64492750.06,1395932.2,15528690.2
002148.SZ,20230630,128211733.25,9232074.81,30898343.02
002148.SZ,20230930,193465153.64,14230158.88,30986580.49
002148.SZ,20231231,265297137.72,24889947.1,42833772.7
002148.SZ,20240331,64699523.82,2563670.13,9626455.31
002148.SZ,20240630,132068062.5,11395446.81,11911925.26
002148.SZ,20240930,205908189.11,15023566.02,1957021.64
002148.SZ,20241231,281620937.36,27739986.3,-6907696.94
002148.SZ,20250331,93305143.36,-9182507.09,-16157443.24
002148.SZ,20250630,194485433.19,-5236721.12,-7036188.84
002148.SZ,20250930,289115521.46,-1863611.66,-17765959.84
002168.SZ,20200331,334529594.43,41314712.7,137766940.05
002168.SZ,20200630,513448852.43,52544148.92,139535344.45
002168.SZ,20200930,676226792.62,47478028.76,168863979.66
002168.SZ,20201231,785008872.15,-193146968.57,126934949.45
002168.SZ,20210331,73955049.26,-35324015.92,277625793.25
002168.SZ,20210630,154415599.45,-76997195.71,174285547.32
002168.SZ,20210930,237002660.35,-146351057.9,163101811.41
002168.SZ,20211231,329906421.16,-253288253.13,207763903.54
002168.SZ,20220331,41827011.99,-29901189.62,9719264.24
002168.SZ,20220630,129068519.93,-53133497.09,-16713522.99
002168.SZ,20220930,162005169.85,-88628013.99,60536064.63
002168.SZ,20221231,244407891.05,-121363005.43,19015462.32
002168.SZ,20230331,45465569.6,-18521431.52,-26992450.11
002168.SZ,20230630,99430695.97,-49865642.57,-45232984.34
002168.SZ,20230930,139601282.59,-49788248.45,-30369541.48
002168.SZ,20231231,254162324.5,1955723.32,28553324.99
002168.SZ,20240331,31244678.22,-38631124.2,-15189843.61
002168.SZ,20240630,111298587.0,-70535763.76,-50502770.43
002168.SZ,20240930,147181487.5,-84621133.38,-96556103.81
002168.SZ,20241231,197235872.29,-152178780.97,-118745761.37
002168.SZ,20250331,60760002.19,-14278413.0,7397522.36
002168.SZ,20250630,179792680.55,-25271887.94,51188378.54
002168.SZ,20250930,284255362.94,-29564631.77,27699626.97
002174.SZ,20200331,1211340610.44,363056318.27,463839559.31
002174.SZ,20200630,2516786165.63,496055405.88,546869184.81
002174.SZ,20200930,3724203806.99,561559627.46,682153791.51
002174.SZ,20201231,4703137714.04,-186935590.14,832588812.01
002174.SZ,20210331,944203173.81,187265402.45,340917000.63
002174.SZ,20210630,1767111827.83,262424793.75,143605589.71
002174.SZ,20210930,2514343384.37,353777806.16,208158762.46
002174.SZ,20211231,3204382806.5,165455866.58,326517508.94
002174.SZ,20220331,544703006.24,79935819.71,142040562.76
002174.SZ,20220630,1023753826.62,70937563.05,141019724.38
002174.SZ,20220930,1461517525.65,74024020.46,194077113.61
002174.SZ,20221231,1980551943.26,-629934022.11,157516762.71
002174.SZ,20230331,473871237.13,42849758.55,-91421569.35
002174.SZ,20230630,845439392.18,-52042556.92,-326719926.62
002174.SZ,20230930,1178779080.29,10443702.55,-374731948.66
002174.SZ,20231231,1625398795.18,91365240.54,-230212394.78
002174.SZ,20240331,334992747.75,17186242.41,8523994.93
002174.SZ,20240630,701582459.06,4618115.53,143292680.79
002174.SZ,20240930,996872110.38,5198372.04,84081972.34
002174.SZ,20241231,1434365440.99,-385989348.66,36460602.28
002174.SZ,20250331,359404100.79,24702408.68,-18037146.59
002174.SZ,20250630,688045938.53,50152948.12,-90440742.17
002174.SZ,20250930,1018755172.76,76344117.55,-53679737.22
002247.SZ,20200331,133463918.89,-22731568.33,-87499366.09
002247.SZ,20200630,386282676.88,140127579.6,-1198286.5
002247.SZ,20200930,703744539.92,164699406.08,38064114.37
002247.SZ,20201231,997359077.88,165092405.29,202966174.95
002247.SZ,20210331,239933718.3,13610808.87,-73589911.06
002247.SZ,20210630,563308413.26,50496180.65,-36799909.14
002247.SZ,20210930,870246488.05,67216739.95,-23149403.09
002247.SZ,20211231,1164108036.36,80664982.1,88763888.43
002247.SZ,20220331,226138678.57,249218.12,-88196820.48
002247.SZ,20220630,473268539.14,22153622.76,-36411318.5
002247.SZ,20220930,709557160.58,43889187.61,-10380763.51
002247.SZ,20221231,934858356.53,52873576.96,76688588.11
002247.SZ,20230331,175913689.67,1729700.57,-39745872.87
002247.SZ,20230630,435671352.97,-353355309.23,-36261398.31
002247.SZ,20230930,690348146.08,-342664119.44,-6246394.59
002247.SZ,20231231,946685133.09,-335699336.37,90044295.94
002247.SZ,20240331,188381734.51,-7069801.12,-73675957.62
002247.SZ,20240630,415355987.91,221147056.17,-41097005.88
002247.SZ,20240930,628417928.47,219484911.07,-21637531.44
002247.SZ,20241231,839599128.26,216525147.43,66919134.77
002247.SZ,20250331,157142985.01,3949084.54,-40644728.39
002247.SZ,20250630,364574110.66,22671382.75,-12219123.54
002247.SZ,20250930,587912018.71,40983598.62,1753327.77
002261.SZ,20200331,305227693.82,23836755.39,-156609812.49
002261.SZ,20200630,603488684.55,35097314.88,-224368061.96
002261.SZ,20200930,955391389.34,63747267.79,-63466805.73
002261.SZ,20201231,1488585181.69,45691745.87,84477534.93
002261.SZ,20210331,397270870.66,25424368.21,-172313170.42
002261.SZ,20210630,890177687.04,60196801.46,-145161843.97
002261.SZ,20210930,1302199542.29,85262779.04,-199305243.62
002261.SZ,20211231,2230300619.33,99041126.45,167888953.2
002261.SZ,20220331,487835861.17,42721956.98,-172827652.93
002261.SZ,20220630,934472268.74,90505051.19,-66161537.78
002261.SZ,20220930,1599963327.82,113667947.65,-102416270.36
002261.SZ,20221231,2236661509.11,-1008649214.95,-313785272.49
002261.SZ,20230331,696215270.03,46396795.04,-196813448.29
002261.SZ,20230630,1073141637.79,57009278.96,-569258774.03
002261.SZ,20230930,1872678252.39,67971314.58,-506894681.23
002261.SZ,20231231,3154141699.1,47693045.54,-1169883405.68
002261.SZ,20240331,812565157.58,3558090.12,-287290964.28
002261.SZ,20240630,1728459765.6,124946.05,-356452003.07
002261.SZ,20240930,2944950911.46,2967083.51,193136021.16
002261.SZ,20241231,4107170805.05,-112022910.8,774576602.32
002261.SZ,20250331,623017322.04,62804961.57,49664939.28
002261.SZ,20250630,1306403506.02,70864693.0,293467428.02
002261.SZ,20250930,2078364714.93,91622011.22,775818355.3
002354.SZ,20200331,216102902.03,-60866189.44,-16032861.68
002354.SZ,20200630,479069302.84,-164555304.21,52873542.98
002354.SZ,20200930,752282245.7,-174243146.74,82064992.32
002354.SZ,20201231,996266630.37,172011306.08,93931407.74
002354.SZ,20210331,282524821.27,23482464.34,-72036159.76
002354.SZ,20210630,625046381.91,53234895.9,-93629442.14
002354.SZ,20210930,1168341695.67,41930625.93,-128108222.61
002354.SZ,20211231,1764077431.8,57239196.37,-52224878.23
002354.SZ,20220331,497482786.98,17259709.78,-73175592.77
002354.SZ,20220630,851513886.07,350484.31,-95277836.57
002354.SZ,20220930,1310467856.68,-2287720.58,-105840283.31
002354.SZ,20221231,1742659319.93,-261555420.97,-126378925.07
002354.SZ,20230331,474136065.04,14744548.73,19657653.38
002354.SZ,20230630,1001858349.1,17961337.14,52688726.69
002354.SZ,20230930,1356778752.64,28901198.08,82268484.92
002354.SZ,20231231,1761374461.71,-1069573629.84,-1086288.58
002354.SZ,20240331,369821532.83,19774657.5,-35347280.07
002354.SZ,20240630,761727708.33,-104161.89,-20140315.37
002354.SZ,20240930,1200332105.98,458280.23,-19251940.08
002354.SZ,20241231,1578575276.42,-109840872.54,-72396691.54
002354.SZ,20250331,485004145.06,4712341.26,-715875.87
002354.SZ,20250630,987505268.62,28334768.74,88023060.68
002354.SZ,20250930,1508466388.58,47905334.19,78497589.38
002425.SZ,20200331,177024139.75,81371536.17,-5257508.9
002425.SZ,20200630,305322271.07,117525347.87,94436590.36
002425.SZ,20200930,444224716.14,150503448.92,171646449.46
002425.SZ,20201231,589813575.1,124410951.95,348474804.04
002425.SZ,20210331,287285166.91,149557808.88,39060221.91
002425.SZ,20210630,470007858.9,212723503.04,186245151.52
002425.SZ,20210930,692503525.54,242570595.1,194434992.05
002425.SZ,20211231,932832501.86,66016365.89,300931960.3
002425.SZ,20220331,190033952.09,13613394.95,-218619.72
002425.SZ,20220630,366450692.57,-54857285.64,48375584.37
002425.SZ,20220930,516117727.58,-83870876.35,55653208.36
002425.SZ,20221231,621264570.71,-772189660.09,107724353.95
002425.SZ,20230331,85747592.75,-25804420.63,9390209.96
002425.SZ,20230630,178483500.69,-102891230.92,20838270.75
002425.SZ,20230930,268629481.61,-139445108.0,-5408503.86
002425.SZ,20231231,430851760.14,-868898123.84,-25504596.26
002425.SZ,20240331,149437193.02,2964550.67,-895716.31
002425.SZ,20240630,238974100.48,-53200941.69,2603988.94
002425.SZ,20240930,326760695.2,-103737131.5,-24858183.24
002425.SZ,20241231,454038172.81,-542946476.24,-7528465.72
002425.SZ,20250331,178951189.24,2286634.44,32502341.03
002425.SZ,20250630,273317514.42,-61819114.61,3074430.21
002425.SZ,20250930,420281131.58,-118023148.81,-14742451.69
002447.SZ,20200331,7574515.08,-3048575.01,-8728594.77
002447.SZ,20200630,12628174.07,-7882631.25,-5825586.18
002447.SZ,20200930,44054634.7,-2611103.13,-11133699.44
002447.SZ,20201231,105263440.13,-51654091.34,-15789556.73
002447.SZ,20210331,43030086.49,1621607.16,-1332913.7
002447.SZ,20210630,87844475.39,-9343667.56,-773605.21
002447.SZ,20210930,119088988.37,-24737965.12,-4585203.21
002447.SZ,20211231,153314208.08,-90414320.95,-516956.16
002447.SZ,20220331,15287692.94,-13611333.67,1097043.93
002502.SZ,20200331,202372324.29,22940572.82,122506536.42
002502.SZ,20200630,270877630.18,25657333.95,197123847.99
002502.SZ,20200930,338801868.0,27014580.5,169523148.94
002502.SZ,20201231,444625128.24,40680753.72,160919705.9
