date,cash,stock_value,total_value,positions,benchmark_value
20260202,265769.0,734231.0,1000000.0,57,1000000.0
20260203,265769.0,760009.0,1025778.0,57,1018620.9966511556
20260204,262071.0,757564.0,1019635.0,58,1014522.7904320657
20260205,258909.0,744332.0,1003241.0,59,998825.713953968
20260206,255407.0,746847.0,1002254.0,60,991530.0061793244
20260209,255407.0,759494.0,1014901.0,60,1021034.2111527458
20260210,251088.0,763793.0,1014881.0,61,1017286.7895730262
20260211,251088.0,764140.0,1015228.0,61,1006318.4125784938
20260212,251088.0,772126.0,1023214.0,61,1019592.4709668269
20260213,251088.0,768681.0,1019769.0,61,1003629.4721594948
20260216,251088.0,748912.0,1019769.0,61,1003629.4721594948
20260217,251088.0,748912.0,1019769.0,61,1003629.4721594948
20260218,251088.0,748912.0,1019769.0,61,1003629.4721594948
20260219,251088.0,748912.0,1019769.0,61,1003629.4721594948
20260220,251088.0,748912.0,1019769.0,61,1003629.4721594948
20260223,251088.0,748912.0,1019769.0,61,1003629.4721594948
20260224,251088.0,774810.0,1025898.0,61,1013527.1135080885
20260225,251088.0,789093.0,1040181.0,61,1027789.4961292677
20260226,247447.0,803318.0,1050765.0,62,1024775.8118519867
20260227,244870.0,806051.0,1050921.0,63,1014152.0922542157
20260302,244870.0,798359.0,1043229.0,63,1009206.1820201582
20260303,238342.0,777496.0,1015838.0,65,983263.7431754008
20260304,238342.0,775702.0,1014044.0,65,969443.7474705979
20260305,238342.0,785323.0,1023665.0,65,985548.2855821999
20260306,238342.0,786793.0,1025135.0,65,989335.5342388785
20260309,238342.0,783847.0,1022189.0,65,982988.0172579917
20260310,238342.0,798887.0,1037229.0,65,1012876.4003430031
20260311,238342.0,803834.0,1042176.0,65,1026168.8404591633
20260312,238342.0,797337.0,1035679.0,65,1016363.1077497059
20260313,238342.0,789920.0,1028262.0,65,1014143.8204766935
20260316,236162.0,787980.0,1024142.0,66,1028464.4119026591
20260317,231668.0,775366.0,1007034.0,67,1004885.8632564886
