stock,year,扣非净利润同比增长,净资产收益率,资产负债比率,毛利率,主营收入同比增长,筹资活动产生的现金流量净额,投资活动产生的现金流量净额,经营活动产生的现金流量净额,净利率,净利润(扣除非经常性损益后),营业利润,营业总收入
000001.SZ,2023,12.398,3.3133,91.8117,,-2.4001,-48093000000.0,7025000000.0,109156000000.0,32.3784,14469000000.0,18369000000.0,45098000000.0
000001.SZ,2024,3.0203,3.1176,91.5248,,-14.0317,22801000000.0,8311000000.0,-21382000000.0,38.5143,14906000000.0,18554000000.0,38770000000.0
000001.SZ,2025,-5.7896,2.8165,91.2405,,-13.0539,-158398000000.0,24943000000.0,162946000000.0,41.8167,14043000000.0,16910000000.0,33709000000.0
300003.SZ,2020,13.871,20.7649,41.9645,66.9874,3.1189,-763436320.91,-695452720.47,2089699304.89,23.3506,1412890674.82,2149177684.76,8038667540.97
300003.SZ,2021,81.7551,7.0831,43.8842,64.8887,64.9635,-96877034.9,-225813885.53,1299360017.17,27.5572,682553832.11,914878189.71,2749291118.03
300003.SZ,2022,-19.8293,4.6676,40.5949,63.7022,-7.2811,-165373685.28,-436730738.39,448932891.19,22.0519,547208342.77,684520293.86,2549111243.52
300003.SZ,2023,2.7817,3.8549,30.4462,66.9509,-4.3901,250478144.13,-212409978.34,-134203435.01,25.37,562429846.3,699843038.19,2437202386.92
300003.SZ,2024,-18.8461,2.9788,29.3971,66.8858,-21.1379,-52062147.66,-280016903.64,141518257.63,25.6375,456433815.92,609221198.42,1922028839.15
300003.SZ,2025,-26.0821,2.4567,31.9979,64.0251,-9.6667,82162782.14,-464047420.78,419022240.55,21.726,337386464.42,468447639.53,1736231253.08
300140.SZ,2020,-961.8368,-25.0114,67.6349,19.1582,-25.395,-257841246.57,228373727.99,-130382013.14,-27.7336,-502047847.33,-279367752.11,1883579282.72
300140.SZ,2021,-2054.5735,0.305,51.1137,26.877,-43.1462,-478571826.26,616762641.71,178016155.21,1.2478,-74633923.85,4624035.48,241369323.35
300140.SZ,2022,92.6346,-0.3105,46.7117,23.6498,-10.8728,-404030407.74,-1414772.46,68266785.79,-3.1564,-5497074.62,-4755702.86,197638996.45
300140.SZ,2023,70.3856,-0.008,45.2228,21.7409,22.6186,-144630266.09,-19510228.09,-19159069.12,-0.7143,-1627925.56,-1694692.63,242342193.87
300140.SZ,2024,11955.7312,1.4945,56.0301,36.6872,-5.6762,-2068972270.0,-1360832507.23,305506123.79,14.3661,193002478.05,234669489.21,1424697875.97
300140.SZ,2025,44.6573,2.0609,53.2878,40.8134,-0.1613,-231103903.11,-155220782.92,327403249.79,20.3373,279192132.9,334165754.0,1422400134.83
