date,cash,stock_value,total_value,positions,benchmark_value
20251001,1000000.0,0.0,1000000.0,0,1000000.0
20251002,1000000.0,0.0,1000000.0,0,1000000.0
20251003,1000000.0,0.0,1000000.0,0,1000000.0
20251006,1000000.0,0.0,1000000.0,0,1000000.0
20251007,1000000.0,0.0,1000000.0,0,1000000.0
20251008,1000000.0,0.0,1000000.0,0,1000000.0
20251009,1000000.0,0.0,1000000.0,0,1000000.0
20251010,1000000.0,0.0,1000000.0,0,954454.9028119866
20251013,1000000.0,0.0,1000000.0,0,943877.9921160626
20251014,68458.0,931542.0,1000000.0,40,906236.75970056
20251015,68458.0,960666.0,1029124.0,40,927661.9018450424
20251016,68458.0,943042.0,1011500.0,40,931210.5320278053
20251017,68458.0,915867.0,984325.0,40,899917.2854925868
20251020,68458.0,928076.0,996534.0,40,917724.8176019414
20251021,68458.0,947768.0,1016226.0,40,945396.7751765732
20251022,68458.0,943065.0,1011523.0,40,937917.5197175075
20251023,68458.0,940184.0,1008642.0,40,938788.8118971544
20251024,68458.0,956515.0,1024973.0,40,972330.1884652197
20251027,68458.0,963793.0,1032251.0,40,991609.5973354769
20251028,92041.0,939311.0,1031352.0,33,990113.8075590882
20251029,92041.0,937076.0,1029117.0,33,1019145.7412452303
20251030,92041.0,920466.0,1012507.0,33,1000367.8925459451
20251031,92041.0,940624.0,1032665.0,33,977224.6922118986
20251103,92041.0,952673.0,1044714.0,33,980087.5093735955
20251104,92041.0,945453.0,1037494.0,33,960840.2911011085
20251105,92041.0,960604.0,1052645.0,33,970694.2929442502
20251106,92041.0,963012.0,1055053.0,33,988595.9442299426
20251107,92041.0,961707.0,1053748.0,33,983562.5610471694
20251110,92041.0,964053.0,1056094.0,33,974555.6317910664
20251111,130861.0,930613.0,1061474.0,51,960909.5775305949
20251112,130861.0,928031.0,1058892.0,51,957142.0512829946
20251113,130861.0,939506.0,1070367.0,51,981584.5254584708
20251114,130861.0,929417.0,1060278.0,51,953916.8599635419
20251117,130861.0,938977.0,1069838.0,51,951984.1977888432
20251118,130861.0,919674.0,1050535.0,51,940952.6332215552
20251119,130861.0,906125.0,1036986.0,51,943290.2837739154
20251120,130861.0,899855.0,1030716.0,51,932712.1467695049
20251121,130861.0,869133.0,999994.0,51,895229.1081487586
20251124,130861.0,890947.0,1021808.0,51,897977.5720440906
20251125,68406.0,964036.0,1032442.0,50,913885.8588850036
20251126,68406.0,970436.0,1038842.0,50,933433.5227366791
20251127,68406.0,977426.0,1045832.0,50,929326.002461201
20251128,68406.0,993270.0,1061676.0,50,935853.6425347552
20251201,68406.0,993685.0,1062091.0,50,948089.4420357703
20251202,68406.0,996282.0,1064688.0,50,941544.0204891621
20251203,68406.0,982780.0,1051186.0,50,931009.1108589004
20251204,68406.0,967414.0,1035820.0,50,940420.4153384214
20251205,68406.0,980636.0,1049042.0,50,953239.3245247594
20251208,68406.0,989813.0,1058219.0,50,978063.4872166537
20251209,168692.0,882309.0,1051001.0,33,983990.8492860738
20251210,168692.0,878391.0,1047083.0,33,983807.5161673445
20251211,168692.0,851642.0,1020334.0,33,969910.3752442654
20251212,168692.0,844365.0,1013057.0,33,979317.081066962
20251215,168692.0,839393.0,1008085.0,33,961978.3053765655
20251216,168692.0,815330.0,984022.0,33,941731.9522647158
20251217,168692.0,828790.0,997482.0,33,973660.7331730548
20251218,168692.0,827945.0,996637.0,33,952555.0443893013
20251219,168692.0,842395.0,1011087.0,33,957206.7390556567
20251222,168692.0,840174.0,1008866.0,33,978589.5735573553
20251223,94242.0,920339.0,1014581.0,27,982583.0471435903
20251224,94242.0,948550.0,1042792.0,27,990114.4207133314
20251225,94242.0,986061.0,1080303.0,27,993108.4528830819
20251226,94242.0,995971.0,1090213.0,27,994498.1669753897
20251229,94242.0,1022881.0,1117123.0,27,987978.497906998
20251230,94242.0,1041641.0,1135883.0,27,994200.4805902959
20251231,94242.0,1057452.0,1151694.0,27,982018.9452398076
20260101,94242.0,923084.0,1017326.0,27,982018.9452398076
20260102,94242.0,923084.0,1017326.0,27,982018.9452398076
20260105,94242.0,1074125.0,1168367.0,27,1010033.962613533
20260106,111257.0,1061135.0,1172392.0,24,1017618.9871795578
20260107,111257.0,1070334.0,1181591.0,24,1020807.6958215378
20260108,111257.0,1079745.0,1191002.0,24,1012411.7747688255
20260109,111257.0,1092014.0,1203271.0,24,1020231.3308328904
20260112,111257.0,1129702.0,1240959.0,24,1038787.8308503653
20260113,111257.0,1102089.0,1213346.0,24,1018415.1679644076
20260114,111257.0,1117976.0,1229233.0,24,1026769.087951458
20260115,111257.0,1115226.0,1226483.0,24,1032526.2997183782
20260116,111257.0,1131760.0,1243017.0,24,1030410.9175791934
20260119,111257.0,1144475.0,1255732.0,24,1023234.2537391678
20260120,249943.0,970713.0,1220656.0,147,1004953.3665540302
20260121,249943.0,977956.0,1227899.0,147,1010331.6489986272
20260122,249943.0,988790.0,1238733.0,147,1020487.0161523221
20260123,249943.0,1012552.0,1262495.0,147,1026881.2951779711
20260126,249943.0,988586.0,1238529.0,147,1017575.1466511663
20260127,249943.0,991046.0,1240989.0,147,1024764.3801531782
20260128,249943.0,978594.0,1228537.0,147,1018928.0714888795
20260129,249943.0,969871.0,1219814.0,147,1013087.1641677566
20260130,249943.0,959797.0,1209740.0,147,1025915.8838219866
20260202,249943.0,940281.0,1190224.0,147,1000701.7550313903
20260203,276556.0,945676.0,1222232.0,101,1019335.8190606354
20260204,276556.0,946119.0,1222675.0,101,1015234.7369047117
20260205,276556.0,934706.0,1211262.0,101,999526.6449242173
20260206,276556.0,937898.0,1214454.0,101,992225.8173499352
20260209,276556.0,955008.0,1231564.0,101,1021750.727047644
20260210,276556.0,951333.0,1227889.0,101,1018000.6756959761
20260211,276556.0,949275.0,1225831.0,101,1007024.6015877016
20260212,276556.0,959263.0,1235819.0,101,1020307.9751132955
20260213,276556.0,949789.0,1226345.0,101,1004333.7741912341
