date,stock,action,price,shares,cost,reason,profit
20251014,300893.SZ,BUY,34.68,700,24276.0,Daily Buy,
20251014,300517.SZ,BUY,11.530000000000001,2100,24213.000000000004,Daily Buy,
20251014,300219.SZ,BUY,7.13,3500,24955.0,Daily Buy,
20251014,300467.SZ,BUY,24.13,1000,24130.0,Daily Buy,
20251014,300438.SZ,BUY,35.57,700,24899.0,Daily Buy,
20251014,300593.SZ,BUY,19.400000000000002,1200,23280.000000000004,Daily Buy,
20251014,300252.SZ,BUY,13.23,1800,23814.0,Daily Buy,
20251014,300080.SZ,BUY,5.07,4900,24843.0,Daily Buy,
20251014,300571.SZ,BUY,32.61000000000001,700,22827.000000000004,Daily Buy,
20251014,301112.SZ,BUY,48.06,500,24030.0,Daily Buy,
20251014,300354.SZ,BUY,45.11,500,22555.0,Daily Buy,
20251014,301086.SZ,BUY,73.42,300,22026.0,Daily Buy,
20251014,300559.SZ,BUY,14.860000000000001,1600,23776.000000000004,Daily Buy,
20251014,300611.SZ,BUY,28.35,800,22680.0,Daily Buy,
20251014,300290.SZ,BUY,24.06,1000,24060.0,Daily Buy,
20251014,300715.SZ,BUY,11.73,2100,24633.0,Daily Buy,
20251014,300686.SZ,BUY,14.709999999999999,1600,23536.0,Daily Buy,
20251014,300004.SZ,BUY,11.700000000000001,2100,24570.000000000004,Daily Buy,
20251014,300350.SZ,BUY,6.62,3700,24494.0,Daily Buy,
20251014,301353.SZ,BUY,26.64,900,23976.0,Daily Buy,
20251014,300235.SZ,BUY,12.1,2000,24200.0,Daily Buy,
20251014,300919.SZ,BUY,45.06,500,22530.0,Daily Buy,
20251014,301192.SZ,BUY,33.28,700,23296.0,Daily Buy,
20251014,301319.SZ,BUY,43.77,500,21885.0,Daily Buy,
20251014,301456.SZ,BUY,29.92,800,23936.0,Daily Buy,
20251014,300398.SZ,BUY,24.78,1000,24780.0,Daily Buy,
20251014,300043.SZ,BUY,6.42,3800,24396.0,Daily Buy,
20251014,300803.SZ,BUY,146.43,100,14643.0,Daily Buy,
20251014,300331.SZ,BUY,32.919999999999995,700,23043.999999999996,Daily Buy,
20251014,300792.SZ,BUY,31.93,700,22351.0,Daily Buy,
20251014,300660.SZ,BUY,53.800000000000004,400,21520.0,Daily Buy,
20251014,301045.SZ,BUY,26.18,900,23562.0,Daily Buy,
20251014,300236.SZ,BUY,58.18,400,23272.0,Daily Buy,
20251014,300697.SZ,BUY,17.630000000000003,1400,24682.000000000004,Daily Buy,
20251014,301630.SZ,BUY,187.03,100,18703.0,Daily Buy,
20251014,301095.SZ,BUY,81.99,300,24597.0,Daily Buy,
20251014,301356.SZ,BUY,22.68,1100,24948.0,Daily Buy,
20251014,300638.SZ,BUY,30.5,800,24400.0,Daily Buy,
20251014,300976.SZ,BUY,64.38,300,19314.0,Daily Buy,
20251014,301272.SZ,BUY,47.82,500,23910.0,Daily Buy,
20251028,300893.SZ,SELL,25.23,700,,调仓卖出,-6614.999999999999
20251028,300517.SZ,SELL,12.18,2100,,调仓卖出,1364.999999999997
20251028,300219.SZ,SELL,7.550000000000001,3500,,调仓卖出,1470.000000000003
20251028,300467.SZ,SELL,24.97,1000,,调仓卖出,839.9999999999999
20251028,300438.SZ,SELL,37.31,700,,调仓卖出,1218.0000000000014
20251028,300593.SZ,SELL,23.3,1200,,调仓卖出,4679.999999999998
20251028,300252.SZ,SELL,13.399999999999999,1800,,调仓卖出,305.9999999999967
20251028,300571.SZ,SELL,32.6,700,,调仓卖出,-7.000000000003581
20251028,301112.SZ,SELL,52.27,500,,调仓卖出,2105.0000000000005
20251028,300354.SZ,SELL,48.589999999999996,500,,调仓卖出,1739.9999999999984
20251028,301086.SZ,SELL,81.64,300,,调仓卖出,2465.9999999999995
20251028,300559.SZ,SELL,12.81,1600,,调仓卖出,-3280.000000000001
20251028,300611.SZ,SELL,33.849999999999994,800,,调仓卖出,4399.9999999999945
20251028,300290.SZ,SELL,22.99,1000,,调仓卖出,-1070.0000000000002
20251028,300715.SZ,SELL,12.47,2100,,调仓卖出,1554.0000000000005
20251028,300686.SZ,SELL,15.53,1600,,调仓卖出,1312.0000000000005
20251028,300004.SZ,SELL,11.13,2100,,调仓卖出,-1197.0000000000007
20251028,300350.SZ,SELL,6.71,3700,,调仓卖出,332.9999999999995
20251028,301353.SZ,SELL,28.75,900,,调仓卖出,1898.9999999999995
20251028,300235.SZ,SELL,15.709999999999999,2000,,调仓卖出,7219.999999999999
20251028,300919.SZ,SELL,43.53,500,,调仓卖出,-765.0000000000006
20251028,301192.SZ,SELL,41.93000000000001,700,,调仓卖出,6055.000000000004
20251028,301319.SZ,SELL,40.93,500,,调仓卖出,-1420.0000000000018
20251028,301456.SZ,SELL,32.15,800,,调仓卖出,1783.9999999999975
20251028,300398.SZ,SELL,24.330000000000002,1000,,调仓卖出,-449.9999999999993
20251028,300043.SZ,SELL,6.08,3800,,调仓卖出,-1291.9999999999995
20251028,300803.SZ,SELL,151.44,100,,调仓卖出,500.9999999999991
20251028,300331.SZ,SELL,34.95,700,,调仓卖出,1421.0000000000057
20251028,300792.SZ,SELL,30.000000000000004,700,,调仓卖出,-1350.9999999999973
20251028,300660.SZ,SELL,56.26,400,,调仓卖出,983.9999999999975
20251028,301045.SZ,SELL,28.14,900,,调仓卖出,1764.0000000000007
20251028,300236.SZ,SELL,62.1,400,,调仓卖出,1568.0000000000007
20251028,300697.SZ,SELL,17.35,1400,,调仓卖出,-392.0000000000016
20251028,301630.SZ,SELL,200.6,100,,调仓卖出,1356.9999999999993
20251028,301095.SZ,SELL,78.00000000000001,300,,调仓卖出,-1196.999999999994
20251028,301356.SZ,SELL,25.32,1100,,调仓卖出,2904.0000000000005
20251028,300638.SZ,SELL,27.3,800,,调仓卖出,-2559.9999999999995
20251028,300976.SZ,SELL,69.2,300,,调仓卖出,1446.0000000000023
20251028,301272.SZ,SELL,46.96,500,,调仓卖出,-429.9999999999997
20251028,300865.SZ,BUY,31.12,900,28008.0,Daily Buy,
20251028,300935.SZ,BUY,29.020000000000003,1000,29020.000000000004,Daily Buy,
20251028,300713.SZ,BUY,18.13,1600,29008.0,Daily Buy,
20251028,300483.SZ,BUY,14.22,2100,29862.0,Daily Buy,
20251028,300086.SZ,BUY,6.96,4300,29928.0,Daily Buy,
20251028,300740.SZ,BUY,22.12,1300,28756.0,Daily Buy,
20251028,301388.SZ,BUY,31.92,900,28728.0,Daily Buy,
20251028,301262.SZ,BUY,25.34,1200,30408.0,Daily Buy,
20251028,300877.SZ,BUY,31.290000000000003,900,28161.000000000004,Daily Buy,
20251028,301027.SZ,BUY,16.400000000000002,1800,29520.000000000004,Daily Buy,
20251028,301207.SZ,BUY,19.22,1500,28830.0,Daily Buy,
20251028,300436.SZ,BUY,114.47,200,22894.0,Daily Buy,
20251028,300374.SZ,BUY,16.69,1800,30042.000000000004,Daily Buy,
20251028,301365.SZ,BUY,24.31,1200,29172.0,Daily Buy,
20251028,300332.SZ,BUY,6.04,5000,30200.0,Daily Buy,
