date,cash,stock_value,total_value,positions,benchmark_value
20260202,265769.0,734231.0,1000000.0,57,1000000.0
20260203,279709.0,746069.0,1025778.0,57,1031063.029874409
20260204,289000.0,731655.0,1020655.0,57,1032600.41064839
20260205,297724.0,707869.0,1005593.0,57,1013569.7867101919
20260206,299417.0,704770.0,1004187.0,59,1013607.8604004505
20260209,299417.0,714458.0,1013875.0,59,1034121.6163252023
20260210,312197.0,701683.0,1013880.0,59,1033519.6538628744
20260211,312197.0,701931.0,1014128.0,59,1035929.1212219015
20260212,349384.0,671919.0,1021303.0,58,1048092.7942928287
20260213,349384.0,669969.0,1019353.0,58,1032666.1064276599
20260216,349384.0,663931.0,1019353.0,58,1032666.1064276599
20260217,349384.0,663931.0,1019353.0,58,1032666.1064276599
20260218,349384.0,663931.0,1019353.0,58,1032666.1064276599
20260219,349384.0,663931.0,1019353.0,58,1032666.1064276599
20260220,349384.0,663931.0,1019353.0,58,1032666.1064276599
20260223,349384.0,663931.0,1019353.0,58,1032666.1064276599
20260224,365665.0,659510.0,1025175.0,58,1044277.9598374825
20260225,404459.0,633563.0,1038022.0,55,1061031.6277896133
20260226,413342.0,631698.0,1045040.0,58,1064721.5407252864
20260227,431045.0,616490.0,1047535.0,57,1077317.5865859173
20260302,437282.0,605868.0,1043150.0,59,1077302.904574641
20260303,419312.0,607174.0,1026486.0,61,1030430.0858798119
20260304,435484.0,589354.0,1024838.0,60,1026365.2839612962
20260305,459215.0,574601.0,1033816.0,60,1033858.8332081216
20260306,459215.0,576414.0,1035629.0,60,1040224.8537584582
20260309,445052.0,588818.0,1033870.0,63,1030164.6898624195
20260310,454252.0,589148.0,1043400.0,62,1046442.0634148417
20260311,454252.0,592702.0,1046954.0,62,1045574.3316636486
20260312,462456.0,580053.0,1042509.0,62,1040117.475998022
20260313,452346.0,586592.0,1038938.0,63,1025227.1792397356
20260316,454536.0,582885.0,1037421.0,63,1018427.9149329243
20260317,448625.0,578162.0,1026787.0,63,997384.6112116318
